airport,year,avg_arr_delay,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,avg_fare,total_passengers,total_delay
LFT,2022,924.8421052631579,5897.0,1783.0,2678.0,7214.0,,,17572.0
LIH,2022,1393.9333333333334,23404.0,552.0,4800.0,12847.0,,,41603.0
ALO,2022,301.0,613.0,169.0,241.0,482.0,,,1505.0
CRP,2021,1106.6153846153845,14107.0,6005.0,4471.0,18510.0,191.87,252.0,43093.0
SJT,2021,849.304347826087,7602.0,3447.0,1868.0,6617.0,,,19534.0
CAE,2020,482.89285714285717,9872.0,2570.0,5444.0,9122.0,204.3770588235294,476.0,27008.0
LIT,2020,424.34513274336285,17321.0,4774.0,9316.0,16399.0,183.40965277777775,1417.0,47810.0
HHH,2022,1219.3,6949.0,649.0,1340.0,3241.0,,,12179.0
PIR,2022,0.0,0.0,0.0,0.0,0.0,,,0.0
MLU,2021,512.6451612903226,6840.0,2337.0,2646.0,3944.0,,,15767.0
VLD,2021,983.1666666666666,2986.0,5966.0,1712.0,1134.0,,,11798.0
HDN,2021,489.5,12543.0,2417.0,3506.0,5903.0,168.78,207.0,24369.0
HRL,2021,662.8545454545455,15649.0,2214.0,2082.0,16490.0,153.5391666666667,561.0,36435.0
SCK,2021,871.5,3730.0,1360.0,1822.0,3544.0,,,10456.0
BJI,2021,565.1666666666666,4408.0,2329.0,45.0,0.0,,,6782.0
ILM,2020,429.31666666666666,8401.0,2952.0,5024.0,9274.0,183.39499999999998,195.0,25651.0
LGA,2020,3768.4411764705883,150736.0,26166.0,201970.0,132940.0,196.03813774448605,60108.0,511812.0
HNL,2020,1419.3472222222222,57442.0,4140.0,11082.0,29425.0,,,102089.0
YAK,2020,265.8333333333333,463.0,429.0,1050.0,1248.0,,,3190.0
PIT,2022,3113.24,94918.0,12882.0,30402.0,94589.0,240.3456109550562,27919.0,232791.0
LBB,2022,1481.75,13277.0,2225.0,1103.0,13006.0,189.09062500000002,2400.0,29611.0
SJU,2022,7168.257142857143,118194.0,6833.0,41204.0,83283.0,,,249514.0
RKS,2021,897.6666666666666,7892.0,1510.0,0.0,1370.0,,,10772.0
STT,2020,352.49152542372883,12792.0,508.0,3192.0,4246.0,,,20738.0
HIB,2020,409.3333333333333,1642.0,2959.0,202.0,91.0,,,4894.0
SLC,2022,7903.660714285715,244152.0,36626.0,35425.0,125769.0,277.3854464285714,58517.0,441972.0
HTS,2022,458.0,983.0,128.0,299.0,880.0,,,2290.0
CLL,2022,656.8888888888889,2183.0,366.0,318.0,3045.0,,,5912.0
XNA,2021,827.0652173913044,24710.0,7337.0,11412.0,32154.0,267.2,251.0,75613.0
BIL,2021,621.418918918919,21876.0,6118.0,4715.0,13237.0,134.5725,321.0,45946.0
RFD,2021,825.4166666666666,3086.0,997.0,2503.0,3154.0,101.21,91.0,9740.0
BHM,2020,786.4375,32250.0,4892.0,12528.0,25777.0,202.54513157894726,3847.0,75447.0
LFT,2020,330.18333333333334,7088.0,2658.0,3189.0,6851.0,,,19786.0
LYH,2020,511.73333333333335,1898.0,1139.0,980.0,3623.0,,,7640.0
DEC,2020,217.8,1399.0,119.0,213.0,447.0,,,2178.0
TYS,2022,2238.5263157894738,29881.0,8821.0,11398.0,34890.0,238.46968376068375,5632.0,84990.0
ALS,2022,421.2,1519.0,68.0,0.0,519.0,,,2106.0
RHI,2022,1483.4,5170.0,2219.0,0.0,0.0,,,7389.0
